group,n,share_of_flights,base_rate,alert_rate,share_of_alerts,recall,fpr,precision,mean_predicted,calibration_error,delay_min_caught_share
smallest 25% of destinations,13795,0.25550554722083313,0.2711127220007249,0.13301920985864443,0.33837359395168726,0.24037433155080215,0.09308801591248135,0.4899182561307902,0.19493369135294714,-0.07617903064777776,0.29407258407737763
3rd quartile,14133,0.2617658498638662,0.22493455034316848,0.0890115332908795,0.23197492163009403,0.17615602390688895,0.06372101515428154,0.4451510333863275,0.1702414879937466,-0.05469306234942187,0.22132415567259392
largest 25% of destinations,12682,0.23489100035191052,0.24538716290805868,0.09982652578457657,0.23345011985985617,0.17512853470437018,0.07533960292580982,0.4304897314375987,0.17342486798451723,-0.07196229492354145,0.2237694804805884
2nd quartile,13381,0.24783760256339019,0.25865032508781105,0.07951573126074285,0.19620136455836254,0.1609361456226524,0.051108870967741936,0.5234962406015038,0.16582268080500268,-0.09282764428280837,0.21507332560600714
