group,n,share_of_flights,base_rate,alert_rate,share_of_alerts,recall,fpr,precision,mean_predicted,calibration_error,delay_min_caught_share
EWR,19013,0.35215128447333816,0.2686582864355967,0.11686740651133436,0.40973630831643004,0.21495693030540328,0.08083423229054297,0.49414941494149417,0.17809903256181417,-0.09055925387378252,0.25844913221532106
JFK,17568,0.325387564594099,0.2354280510018215,0.10433743169398907,0.33800479439424674,0.18520309477756286,0.07943716497915426,0.41789416257501366,0.18109887718231163,-0.05432917381950986,0.2604126000919588
LGA,17410,0.32246115093256283,0.24399770246984492,0.07857553130384837,0.25225889728932327,0.16407721280602636,0.05098009421060629,0.5095029239766082,0.16919234401058536,-0.07480535845925956,0.20061633148028218
