group,n,share_of_flights,base_rate,alert_rate,share_of_alerts,recall,fpr,precision,mean_predicted,calibration_error,delay_min_caught_share
early (00-09 UTC),8213,0.15211794558352318,0.33580908316084257,0.27919152563009864,0.4228286926055689,0.3934010152284264,0.22144821264894593,0.4731792411687745,0.239283425857034,-0.09652565730380858,0.4538097410406953
late (20-23 UTC),14732,0.27286029153006985,0.30912299755633993,0.1347407005158838,0.3660335607597271,0.21212121212121213,0.1001179013558656,0.4866498740554156,0.21894413901454113,-0.0901788585417988,0.26982269232031325
afternoon (15-19 UTC),15159,0.28076901705839863,0.22818127844844646,0.0609538887789432,0.17038539553752535,0.11679676206996242,0.044444444444444446,0.43722943722943725,0.1700199593635915,-0.05816131908485497,0.14239105719860612
midday (10-14 UTC),15887,0.29425274582800837,0.17127210927173162,0.013910744633977465,0.04075235109717868,0.03895626607864756,0.008734619474403767,0.4796380090497738,0.109858896779895,-0.06141321249183662,0.049198242255616954
