group,n,share_of_flights,base_rate,alert_rate,share_of_alerts,recall,fpr,precision,mean_predicted,calibration_error,delay_min_caught_share
regional (<=70 seats),11405,0.21123891018873517,0.2806663743971942,0.20762823323103902,0.4366586760095888,0.35551390190565446,0.1499268649439298,0.48057432432432434,0.2141674118712683,-0.06649896252592591,0.4127523931325815
small narrowbody (71-130),4783,0.08858883888055416,0.2778590842567426,0.1181266987246498,0.10418587497695003,0.22121896162528218,0.07845975680370584,0.5203539823008849,0.20190284431416144,-0.07595623994258116,0.2541624422665315
large narrowbody (131-200),35812,0.6632957344742643,0.23740645593655757,0.06810566290628839,0.44975106029872763,0.12985179957657023,0.048883192969608205,0.45264452644526443,0.16304623691077189,-0.07436021902578568,0.16699050257670603
widebody (200+),1991,0.03687651645644645,0.2310396785534907,0.025615268709191362,0.009404388714733543,0.05434782608695652,0.016982364467668192,0.49019607843137253,0.13364551314209097,-0.09739416541139972,0.09867286796840544
